011651	1141909417	Bucharest		locality	7
011652	1141909417	Bucharest		locality	21
011653	1141909417	Bucharest		locality	11
011654	1141909417	Bucharest		locality	17
011655	1141909417	Bucharest		locality	10
011656	1141909417	Bucharest		locality	20
011657	1141909417	Bucharest		locality	15
011658	1141909417	Bucharest		locality	12
011661	1141909417	Bucharest		locality	2
011663	1141909417	Bucharest		locality	46
011664	1141909417	Bucharest		locality	4
011665	1141909417	Bucharest		locality	6
011666	1141909417	Bucharest		locality	2
011675	1141909417	Bucharest		locality	16
011676	1141909417	Bucharest		locality	18
011677	1141909417	Bucharest		locality	15
011678	1141909417	Bucharest		locality	18
011681	1141909417	Bucharest		locality	18
011682	1141909417	Bucharest		locality	17
011683	1141909417	Bucharest		locality	19
011684	1141909417	Bucharest		locality	16
011691	1141909417	Bucharest		locality	12
011692	1141909417	Bucharest		locality	9
011693	1141909417	Bucharest		locality	17
011694	1141909417	Bucharest		locality	6
011701	1141909417	Bucharest		locality	3
011704	1141909417	Bucharest		locality	3
011711	1141909417	Bucharest		locality	7
011712	1141909417	Bucharest		locality	3
011713	1141909417	Bucharest		locality	10
011714	1141909417	Bucharest		locality	4
011716	1141909417	Bucharest		locality	2
011731	1141909417	Bucharest		locality	1
011732	1141909417	Bucharest		locality	6
011733	1141909417	Bucharest		locality	3
011734	1141909417	Bucharest		locality	1
011735	1141909417	Bucharest		locality	5
011736	1141909417	Bucharest		locality	2
11736	1141909417	Bucharest		locality	1
011737	1141909417	Bucharest		locality	3
011742	1141909417	Bucharest		locality	1
011743	1125857071	Bucharest		locality	5
011744	1141909417	Bucharest		locality	5
011745	1141909417	Bucharest		locality	7
011746	1141909417	Bucharest		locality	2
011751	1141909417	Bucharest		locality	9
011752	1141909417	Bucharest		locality	16
011753	1141909417	Bucharest		locality	19
011754	1141909417	Bucharest		locality	25
011755	1141909417	Bucharest		locality	8
011756	1141909417	Bucharest		locality	1
11756	1141909417	Bucharest		locality	1
011761	1141909417	Bucharest		locality	15
011762	1141909417	Bucharest		locality	12
011763	1141909417	Bucharest		locality	12
011764	1141909417	Bucharest		locality	14
011765	1141909417	Bucharest		locality	6
011766	1141909417	Bucharest		locality	5
011768	1141909417	Bucharest		locality	6
011769	1141909417	Bucharest		locality	5
011771	1141909417	Bucharest		locality	12
011772	1141909417	Bucharest		locality	6
011773	1141909417	Bucharest		locality	23
011774	1141909417	Bucharest		locality	17
011775	1141909417	Bucharest		locality	11
011776	1141909417	Bucharest		locality	19
011777	1141909417	Bucharest		locality	10
011781	1141909417	Bucharest		locality	24
011783	1141909417	Bucharest		locality	20
011785	1141909417	Bucharest		locality	6
011786	1141909417	Bucharest		locality	19
011787	1141909417	Bucharest		locality	10
011788	1141909417	Bucharest		locality	21
011791	1141909417	Bucharest		locality	1
011792	1141909417	Bucharest		locality	11
011793	1141909417	Bucharest		locality	11
011794	1141909417	Bucharest		locality	10
011795	1141909417	Bucharest		locality	7
011796	1141909417	Bucharest		locality	10
011801	1141909417	Bucharest		locality	7
011802	1141909417	Bucharest		locality	5
011804	1141909417	Bucharest		locality	6
011805	1141909417	Bucharest		locality	7
011806	1141909417	Bucharest		locality	3
011807	1141909417	Bucharest		locality	3
011811	1141909417	Bucharest		locality	3
011812	1141909417	Bucharest		locality	6
011813	1141909417	Bucharest		locality	10
011814	1141909417	Bucharest		locality	13
011815	1141909417	Bucharest		locality	17
011816	1141909417	Bucharest		locality	14
011817	1141909417	Bucharest		locality	15
011821	1141909417	Bucharest		locality	14
011822	1141909417	Bucharest		locality	14
011823	1141909417	Bucharest		locality	13
011824	1141909417	Bucharest		locality	12
011827	1141909417	Bucharest		locality	1
011831	1141909417	Bucharest		locality	5
011832	1141909417	Bucharest		locality	16
011833	1141909417	Bucharest		locality	11
011834	1141909417	Bucharest		locality	9
011835	1141909417	Bucharest		locality	12
011836	1141909417	Bucharest		locality	9
011837	1141909417	Bucharest		locality	11
011838	1141909417	Bucharest		locality	15
011841	1141909417	Bucharest		locality	12
011842	1141909417	Bucharest		locality	7
011843	1141909417	Bucharest		locality	14
